Beverage Name,Type,Flavor Profile,Alcohol Content (ABV%),Acidity Level,Sweetness Level,Tannin Level,Serving Temperature,Snack Name,Cuisine Type,Snack Flavor Profile,Texture,Fat Content,Spice Level,Pairing Score,Pairing Notes
Sauvignon Blanc,Wine,Crisp,12.0,High,Dry,Low,Cold,Barbecue Wings,American,Tangy,Crispy,High,Medium,6,Sauvignon Blanc pairs well with Barbecue Wings due to contrasting taste.
Lager,Beer,Light,4.5,Low,Dry,,Cold,Grilled Chicken,American,Savory,Tender,Medium,Mild,5,Lager pairs well with Grilled Chicken due to balancing textures.
Baileys Irish Cream,Spirits,Creamy,17.0,Low,Sweet,,Cold,Pretzels,General,Salty,Crunchy,Low,Mild,3,Baileys Irish Cream pairs well with Pretzels due to complementary flavors.
Stout,Beer,Rich,5.5,Low,Sweet,,Cold,Chakli,Indian,Salty,Crunchy,Medium,Mild,2,Stout pairs well with Chakli due to balancing textures.
Merlot,Wine,Smooth,13.5,Medium,Semi-Dry,Medium,Room Temp,Chips & Guacamole,Mexican,Savory,Crunchy,Medium,Mild,4,Merlot pairs well with Chips & Guacamole due to balancing textures.
Brandy,Spirits,Fruity-Oaky,40.0,Low,Semi-Sweet,,Room Temp,Barbecue Wings,American,Tangy,Crispy,High,Medium,1,Brandy pairs well with Barbecue Wings due to contrasting taste.
Mezcal,Spirits,Smoky,45.0,Low,Dry,,Room Temp,French Fries,American,Salty,Crispy,Medium,Mild,3,Mezcal pairs well with French Fries due to contrasting taste.
Hefeweizen,Beer,Banana-Clove,5.2,Low,Semi-Sweet,,Cold,Dark Chocolate,Dessert,Bitter-Sweet,Smooth,Medium,Mild,4,Hefeweizen pairs well with Dark Chocolate due to contrasting taste.
Espresso Martini,Cocktail,Coffee-Flavored,20.0,Low,Semi-Sweet,,Cold,Masala Peanuts,Indian,Spicy,Crunchy,Medium,Medium,6,Espresso Martini pairs well with Masala Peanuts due to spice contrast.
Zinfandel,Wine,Jammy,14.5,Medium,Semi-Sweet,Medium,Room Temp,Spicy Nachos,Mexican,Spicy,Crunchy,Medium,Hot,3,Zinfandel pairs well with Spicy Nachos due to balancing textures.
Amaretto,Spirits,Sweet,28.0,Low,Sweet,,Room Temp,Grilled Chicken,American,Savory,Tender,Medium,Mild,4,Amaretto pairs well with Grilled Chicken due to complementary flavors.
Prosecco,Wine,Sparkling,11.0,High,Semi-Sweet,Low,Cold,Salted Nuts,Snack,Salty,Crunchy,Medium,Mild,9,Prosecco pairs well with Salted Nuts due to spice contrast.
Wheat Beer,Beer,Citrusy,5.0,Low,Semi-Sweet,,Cold,Pani Puri,Indian,Tangy,Crispy,Low,Medium,9,Wheat Beer pairs well with Pani Puri due to balancing textures.
Pilsner,Beer,Crisp,5.0,Medium,Dry,,Cold,Barbecue Wings,American,Tangy,Crispy,High,Medium,10,Pilsner pairs well with Barbecue Wings due to contrasting taste.
